h	k	l	q	I(q)
1.0	-1.0	0.0	2.15000	6.103795e-07
-1.0	-1.0	0.0	2.15000	6.079769e-07
1.0	1.0	0.0	2.15000	6.079769e-07
-1.0	1.0	0.0	2.15000	6.103795e-07
-1.0	0.0	1.0	2.19083	1.582674e-09
1.0	0.0	1.0	2.19083	1.573519e-09
1.0	0.0	-1.0	2.19083	1.582674e-09
-1.0	0.0	-1.0	2.19083	1.573519e-09
0.0	2.0	0.0	2.26666	2.750010e-07
0.0	-2.0	0.0	2.26666	2.750010e-07
0.0	0.0	2.0	2.41800	5.500536e-07
0.0	0.0	-2.0	2.41800	5.500536e-07
1.0	1.0	1.0	2.46662	4.350068e-07
-1.0	-1.0	1.0	2.46662	5.742487e-07
1.0	1.0	-1.0	2.46662	5.742487e-07
-1.0	1.0	-1.0	2.46662	5.714855e-07
1.0	-1.0	-1.0	2.46662	4.372858e-07
1.0	-1.0	1.0	2.46662	5.714855e-07
-1.0	1.0	1.0	2.46662	4.372858e-07
-1.0	-1.0	-1.0	2.46662	4.350068e-07
0.0	-2.0	1.0	2.56894	2.421907e-08
0.0	2.0	-1.0	2.56894	2.421907e-08
0.0	-2.0	-1.0	2.56894	5.907698e-08
0.0	2.0	1.0	2.56894	5.907698e-08
0.0	1.0	-2.0	2.67043	8.289930e-09
0.0	-1.0	2.0	2.67043	8.289930e-09
0.0	-1.0	-2.0	2.67043	4.336473e-09
0.0	1.0	2.0	2.67043	4.336473e-09
-1.0	-2.0	0.0	2.91133	1.090601e-08
-1.0	2.0	0.0	2.91133	8.127810e-09
1.0	-2.0	0.0	2.91133	8.127810e-09
1.0	2.0	0.0	2.91133	1.090601e-08
1.0	0.0	-2.0	3.03065	5.194527e-09
-1.0	0.0	2.0	3.03065	5.194527e-09
-1.0	0.0	-2.0	3.03065	5.795738e-09
1.0	0.0	2.0	3.03065	5.795738e-09
1.0	2.0	-1.0	3.15238	1.348302e-08
-1.0	2.0	1.0	3.15238	2.151213e-08
1.0	2.0	1.0	3.15238	2.726177e-08
1.0	-2.0	1.0	3.15238	9.881711e-09
1.0	-2.0	-1.0	3.15238	2.151213e-08
-1.0	-2.0	-1.0	3.15238	2.726177e-08
-1.0	-2.0	1.0	3.15238	1.348302e-08
-1.0	2.0	-1.0	3.15238	9.881711e-09
-1.0	-1.0	-2.0	3.23562	1.086668e-05
-1.0	1.0	-2.0	3.23562	1.056471e-05
1.0	-1.0	2.0	3.23562	1.056471e-05
1.0	-1.0	-2.0	3.23562	1.086721e-05
-1.0	1.0	2.0	3.23562	1.086721e-05
1.0	1.0	2.0	3.23562	1.086668e-05
-1.0	-1.0	2.0	3.23562	1.056098e-05
1.0	1.0	-2.0	3.23562	1.056098e-05
0.0	2.0	-2.0	3.31429	1.433354e-05
0.0	2.0	2.0	3.31429	1.382152e-05
0.0	-2.0	2.0	3.31429	1.433354e-05
0.0	-2.0	-2.0	3.31429	1.382152e-05
0.0	-3.0	0.0	3.39999	7.615917e-08
0.0	3.0	0.0	3.39999	7.615917e-08
0.0	3.0	1.0	3.60855	5.180191e-08
0.0	3.0	-1.0	3.60855	1.522896e-07
0.0	-3.0	1.0	3.60855	1.522896e-07
0.0	-3.0	-1.0	3.60855	5.180191e-08
0.0	0.0	3.0	3.62701	5.747815e-08
0.0	0.0	-3.0	3.62701	5.747815e-08
2.0	0.0	0.0	3.65408	7.213344e-04
